,0,1,2,3,4,5,6,7,8,9,braid_knot_env,braid_knot_env_0_1,braid_knot_env_0_1_limexp,braid_knot_env_0_1_limexp_u,braid_knot_env_0_1_limexp_k2
117,-2,-2,-2,-2,1,-2,-2,1,2,2,3,3,3,3,3
118,-2,-2,-2,-2,1,-2,-1,-2,-1,-2,4,4,4,16,101
119,-2,-2,-2,-2,1,-2,1,-2,-1,2,2,2,2,4,4
120,-2,-2,-2,-2,1,-2,1,1,-2,1,3,5,3,3,5
121,-2,-2,-2,-2,1,-2,2,-1,-2,2,2,2,2,2,2
122,-2,-2,-2,-2,1,-2,2,-1,1,1,3,3,5,3,3
123,-2,-2,-2,-2,1,-2,2,-1,2,2,1,1,1,1,1
124,-2,-2,-2,-2,1,-2,2,2,-2,1,3,3,3,3,3
125,-2,-2,-2,-2,1,-2,2,2,2,1,4,4,4,4,4
126,-2,-2,-2,-2,1,-1,-2,-2,-2,2,3,3,3,3,3
127,-2,-2,-2,-2,1,-1,-2,-2,2,2,2,2,2,2,2
128,-2,-2,-2,-2,1,-1,-1,-2,-2,1,3,3,3,3,5
129,-2,-2,-2,-2,1,-1,-1,-1,1,1,2,2,2,2,2
130,-2,-2,-2,-2,1,-1,-1,1,-2,-2,3,3,3,3,5
131,-2,-2,-2,-2,1,-1,-1,1,-2,2,2,2,2,2,2
132,-2,-2,-2,-2,1,-1,-1,1,1,1,3,3,3,3,3
133,-2,-2,-2,-2,1,-1,1,-2,2,-1,2,2,2,2,2
134,-2,-2,-2,-2,1,-1,1,-1,-2,-2,3,3,3,3,3
135,-2,-2,-2,-2,1,-1,1,-1,-1,1,2,2,2,2,2
136,-2,-2,-2,-2,1,-1,1,-1,1,1,3,3,3,3,3
137,-2,-2,-2,-2,1,-1,1,2,2,-1,3,3,3,3,3
138,-2,-2,-2,-2,1,-1,2,-2,-1,-1,3,3,3,3,3
139,-2,-2,-2,-2,1,-1,2,-1,-1,2,2,2,2,2,2
140,-2,-2,-2,-2,1,-1,2,-1,1,2,1,1,1,1,1
141,-2,-2,-2,-2,1,-1,2,2,2,-2,1,1,1,1,1
142,-2,-2,-2,-2,1,1,-2,-2,-2,2,4,4,4,4,4
143,-2,-2,-2,-2,1,1,-2,-2,-1,-1,3,3,5,3,3
144,-2,-2,-2,-2,1,1,-2,-1,-1,-2,5,5,5,5,5
145,-2,-2,-2,-2,1,1,-1,-1,-1,1,2,2,2,2,2
146,-2,-2,-2,-2,1,1,-1,1,-2,2,3,3,3,3,3
147,-2,-2,-2,-2,1,1,-1,1,2,-2,3,3,3,3,3
148,-2,-2,-2,-2,1,1,1,1,2,2,3,5,3,3,3
149,-2,-2,-2,-2,1,1,2,-2,-1,1,3,3,3,3,3
150,-2,-2,-2,-2,1,1,2,-2,2,2,2,2,2,2,2
151,-2,-2,-2,-2,1,1,2,2,1,-1,2,2,2,2,2
152,-2,-2,-2,-2,1,2,-2,-1,-2,2,2,2,2,2,2
153,-2,-2,-2,-2,1,2,-2,1,-2,-2,4,4,4,4,4
154,-2,-2,-2,-2,1,2,-2,1,2,-2,3,3,3,3,3
155,-2,-2,-2,-2,1,2,-2,2,-2,-1,2,2,2,2,2
156,-2,-2,-2,-2,1,2,-1,2,-1,2,5,3,3,3,3
157,-2,-2,-2,-2,1,2,1,-2,-1,2,1,1,1,1,1
158,-2,-2,-2,-2,1,2,1,-2,1,-2,3,3,3,3,3
159,-2,-2,-2,-2,1,2,1,-1,-2,-1,2,2,2,2,2
160,-2,-2,-2,-2,1,2,1,-1,2,1,4,4,4,4,4
161,-2,-2,-2,-2,1,2,1,1,-2,1,4,4,2,2,4
162,-2,-2,-2,-2,1,2,1,1,2,-1,4,2,2,4,4
163,-2,-2,-2,-2,1,2,1,2,-1,-2,3,3,3,3,3
164,-2,-2,-2,-2,1,2,2,-2,2,1,6,6,4,4,4
165,-2,-2,-2,-2,1,2,2,-1,-1,1,3,3,3,3,3
166,-2,-2,-2,-2,1,2,2,-1,1,1,4,4,4,4,4
167,-2,-2,-2,-2,1,2,2,-1,2,-2,3,3,3,3,3
168,-2,-2,-2,-2,1,2,2,2,2,1,5,5,5,5,5
169,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,4,4,4,4,4
170,-2,-2,-2,-2,2,-2,-2,-2,-1,1,3,3,3,3,3
171,-2,-2,-2,-2,2,-2,-2,-2,2,-2,3,3,3,3,3
172,-2,-2,-2,-2,2,-2,-2,-1,1,-2,3,3,3,3,3
173,-2,-2,-2,-2,2,-2,-2,-1,1,2,2,2,2,2,2
174,-2,-2,-2,-2,2,-2,-2,2,2,2,1,1,1,1,1
175,-2,-2,-2,-2,2,-2,-1,-2,-2,1,3,3,3,3,5
176,-2,-2,-2,-2,2,-2,-1,-2,2,-1,3,3,3,3,3
177,-2,-2,-2,-2,2,-2,-1,-1,2,-2,3,3,3,3,3
178,-2,-2,-2,-2,2,-2,-1,1,-1,-1,3,3,3,3,3
179,-2,-2,-2,-2,2,-2,-1,1,1,1,3,3,3,3,3
180,-2,-2,-2,-2,2,-2,1,-2,-2,1,4,4,4,4,4
181,-2,-2,-2,-2,2,-2,1,-1,-1,-1,3,3,3,3,3
182,-2,-2,-2,-2,2,-2,1,-1,2,2,1,1,1,1,1
183,-2,-2,-2,-2,2,-2,1,1,-1,-1,2,2,2,2,2
184,-2,-2,-2,-2,2,-2,1,2,-2,-1,2,2,2,2,2
185,-2,-2,-2,-2,2,-2,2,-2,-1,1,2,2,2,2,2
186,-2,-2,-2,-2,2,-2,2,1,1,2,2,4,2,2,2
187,-2,-2,-2,-2,2,-2,2,2,2,-2,1,1,1,1,1
188,-2,-2,-2,-2,2,-1,-2,-2,1,2,2,2,2,2,2
189,-2,-2,-2,-2,2,-1,-2,1,-2,-1,3,15,3,3,3
190,-2,-2,-2,-2,2,-1,-2,1,2,-1,2,8,2,2,2
191,-2,-2,-2,-2,2,-1,1,-2,-2,2,2,2,2,2,2
192,-2,-2,-2,-2,2,-1,1,-2,-1,1,2,2,2,2,2
193,-2,-2,-2,-2,2,-1,1,-2,1,1,3,3,3,3,3
